stimuli_ID,argument,lie,honest,lie_flag,honest_flag,topic,ground truth,lie veracity,lie logical validity,honest veracity,honest logical validity
51,Michelle Obama thinks she and her husband deserves SCOTUS appointments,"TRUE.  Michelle Obama made that exact prediction at a Democratic fundraiser in January. She said, 'Barack Obama is the first African-American president ever","FALSE. It is a matter of some dispute. Obama has nominated two people to the Supreme Court: Sonia Sotomayor, who was confirmed, and Merrick Garland, who has been waiting for a Senate hearing for more than 300 days",TRUE,FALSE,Michelle and Barack Obama,FALSE,FALSE,VALID,TRUE,INVALID
57,Elon Musk offers to buy and then delete facebook,"TRUE.  a compelling example of the power of the Internet. Elon Musk, the billionaire who made his fortune in the tech industry, has offered to buy Facebook","FALSE. Neither Musk (his Twitter handle is @elonmusk) nor his companies SpaceX and Tesla Motors had anything to do with the website DeleteFacebook.com. The website is a parody, intended to provoke people to quit the social network",TRUE,FALSE,Elon Musk,FALSE,FALSE,VALID,TRUE,INVALID
77,Planned Parenthood announced 'Abort-a-Palooza' on April 2,"TRUE. Planned Parenthood announced it would be launching a nationwide bus tour to publicize its 'Abortion Without Apology' campaign, which will include stops in several cities, including Raleigh","FALSE.  Planned Parenthood hasnt said anything about an 'Abort-a-palooza,' according to the organization",TRUE,FALSE,Planned Parenthood,FALSE,FALSE,INVALID,TRUE,VALID
97,Michelle Obama files for divorce after shocking revelation; Barack Obama admits: 'I'm gay!',"TRUE. 'I am the same person on the campaign trail as I am in the Oval Office. If Hillary is elected, she will be the third term of Obama, so theres no point in voting for her'","FALSE.  The site doesn't give a source for its claim that Michelle Obama filed for divorce. As for the president, the story is a fabrication",TRUE,FALSE,Michelle and Barack Obama,FALSE,FALSE,INVALID,TRUE,VALID
143,Accused hate groups receive pandemic aid,FALSE.  It does not look like that is the case. Media reports indicate that the groups that were rejected for public assistance after the storm were rejected because they had not yet applied for assistance,TRUE. The claim references a study of pandemic plans of two dozen states and several cities,FALSE,TRUE,Hate groups and pandemic aid,TRUE,FALSE,INVALID,TRUE,INVALID
151,"Armed mexicans were smuggled in to guard border wall, whistle-blower say",FALSE. The unions did not provide any evidence to support their claim that armed Mexican guards were used to protect the border wall.,"TRUE.  A whistle-blower recently came forward to reveal that he had been involved with the construction of the border fence, and that he had personally witnessed Mexicans, who were armed, illegally enter the United States",FALSE,TRUE,Smugglers at the US-Mexican border,TRUE,FALSE,INVALID,TRUE,VALID
235,"Newsmax plans expansion to capitalize on Trump support, anger at Fox News",FALSE.  Newsmax isnt planning to expand its business. The company recently announced a restructuring of its operations to reduce costs and cut its debt load,"TRUE. Newsmax has been a vocal supporter of Trump, and the network has even hired Trump's former campaign manager.",FALSE,TRUE,Newsmax and Donald Trump,TRUE,FALSE,VALID,TRUE,INVALID
500,"Rats besiege New York chipotle, eating avocados and attacking staff","FALSE. The claim that rats besiege new york chipotle, eating avocados and attacking staff comes from an article on the website of the British tabloid The Sun. The article cites unnamed managers of the restaurant. The story has not been reported by any reliable news outlet","TRUE. The rats were spotted all over the restaurant, including on the ceiling and behind the counters, one customer told the New York Daily News. They were seen eating avocados and burrowing into bags of tortilla chips at the restaurant",FALSE,TRUE,Chipotles in New York,TRUE,FALSE,VALID,TRUE,VALID
504,GOP megadonor Sheldon Adelson readies 2021 lobbying blitz to bring casinos to Texas,"FALSE. Adelson is not seeking to bring casinos to Texas, but to create a so-called destination resort in the area of Texas adjacent to the Mexico border",TRUE.  Adelson has said that he is willing to spend up to $100 million to get a pro-gambling plan passed in Texas. He has said he wants to target a state Senate district in Dallas and a House district in Houston,FALSE,TRUE,Sheldon Adelson and Texas casinos,TRUE,FALSE,VALID,TRUE,VALID
505,Biden approval ratings plummet amid war and inflation fears in new public opinion poll,"FALSE.  The poll was paid for by the Committee to Restore America's Greatness and the American Opinion Institute, a conservative website run by North Carolina businessman and GOP activist Floyd Brown.","TRUE.  According to a new NBC News poll, the vice presidents job approval rating has taken a hit amid concerns over the war in Ukraine and the state of the U.S. economy.",FALSE,TRUE,Joe Biden's approval rating,TRUE,FALSE,INVALID,TRUE,VALID
