argument,ground truth,source,lie veracity,lie0,lie1,honest veracity,honest0,honest1
"21,000 dead people registered on pennsylvania's voter rolls",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/21 thousand dead people registered on pennsylvania voter rolls,TRUE,,,FALSE,,
"ahead of his possible arrest, jared kushner secretly leaves the country",FALSE,"https://www.yourfeed.social/static/images/stimulii/aj/ahead of his possible arrest, jared kushner secretly leaves the country.jpeg",TRUE,,,FALSE,,
antifa muslim group plan to 'police minneapolis under muslimrule',FALSE,https://www.yourfeed.social/static/images/stimulii/aj/antifa muslim group plan to police minneapolis under muslimrule.png,TRUE,,,FALSE,,
"Ocasio-Cortez: ""9/11 wasn't that big deal""",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/aoc 9-11 not a big deal,TRUE,,,FALSE,,
"are you on trump's ""kill"" list? stickers on mailbox will determine your fate",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/are you on trumps kill list stickers on mailbox,TRUE,,,FALSE,,
joe biden lookalike tried to get free meals at McDonald's while impersonating President,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/biden lookalike tried to get free meals,TRUE,,,FALSE,,
bill clinton love child danney williams found dead,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/bill clintons love child found dead.jpeg,TRUE,,,FALSE,,
court orders tiger woods to take 137 paternity tests,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/court orders tiger woods to take 137 paternity tests,TRUE,,,FALSE,,
courtroom shocked after black teen requested to be tried as a white man,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/courtroom shocked after black teen requested to be tried as a white man.png,TRUE,,,FALSE,,
cuomo may be willing to coming out as bisexual for a cabinet position,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/cuomo coming out as bisexual for cabinet position,TRUE,,,FALSE,,
death row inmate demands to be served a live cat as his last meal,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/death row inmate demands to be served a live cat as last meal,TRUE,,,FALSE,,
"delaware judge rules that man's ""affair"" with baby yoda doesnt classify as adultery",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/delaware judge rules that baby yoda affair doesnt count,TRUE,,,FALSE,,
"minneapolis police officer who killer george floyd, derek chauvin on suicide watch",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/derek chauvin suicide in prison.png,TRUE,,,FALSE,,
"merriam-webster to change dictionary of ""racism"" to show only white people are racist",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/dictionary change the definition of racism.png,TRUE,,,FALSE,,
"dominion software deleted over 2.7 million votes nationwide, which over...",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/dominion software deleted over 2 million votes,TRUE,,,FALSE,,
newly divorced donald trump jr set the record for most tinder left-swipes in one day,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/donald trump jr set recor for most tinder elft swipes.jpeg,TRUE,,,FALSE,,
fbi investigating whether trump spent $3 million in wisconsin buying votes,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/fbi investigating whether trump spent 3 million buying votes,TRUE,,,FALSE,,
"gen. flynn exposes raid of vote hacking cia facility in germany: ""They committed treason""",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/flynn exposes raid of cia vote hacking facility in germany,TRUE,,,FALSE,,
"ford foundation donates million to ""defund the police"" movement while ford motor co makes millsions from",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/ford foundation donates million to defund the police.png,TRUE,,,FALSE,,
"hispanic woman claims, ""donald trump paid me for sex in cancu, this is our love child""",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/hispanic woman claims love child with trump.jpeg,TRUE,,,FALSE,,
how a philly mob boss stole the election - and why he may flip on joe biden,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/how a philly mob boss stole the election,TRUE,,,FALSE,,
legal battle expected over a 96-year old lady's will after she bequeaths $75M to sitcom character ALF,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/legal battle expected over will left to sitcom character alf,TRUE,,,FALSE,,
maine house democrats vote to allow female genital mutilation,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/maine house democrats vote to allow female genital mutilation.jpeg,TRUE,,,FALSE,,
male stripper shot 5 times after showing up at a gang hideout by mistake in a cop costume,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/male stripper shot 5 times after showing up in cop costume,TRUE,,,FALSE,,
mcconnell to co-sponsor bill aimed at restricting voting rights to landowners,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/mcconnell to cosponsor bill aimed at restricting voting rights to landowners,TRUE,,,FALSE,,
michelle obama thinks she and her husband deserves SCOTUS appointments,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/michelle obama thinks she deserves supreme court,TRUE,,,FALSE,,
"stephen miller voted trump administration's ""sexiest man""",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/miller voted trump admins sexiest man,TRUE,,,FALSE,,
more proof! postal workers busted dumping mail in this state,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/more proof postal workers busted dumping mail,TRUE,,,FALSE,,
elon musk offers to buy and then delete facebook,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/musk offers to buy and then delete facebook,TRUE,,,FALSE,,
bombshell new evidence: dominion voting software was used by china to rig election for...,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/new evidence dominion voting software was used by china to rig election,TRUE,,,FALSE,,
new mutated coronavirus in australia! The next phase of the false flag is here!,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/new mutated coronavirus in australia,TRUE,,,FALSE,,
new jersey brother and sister allowed to marry after 10-year-long court battle,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/nj brother and sister allowed to marry,TRUE,,,FALSE,,
"obama bashes rush after cancer diagnosis: ""I hope he suffers""",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/obama bashes rush after cancer diagnosis,TRUE,,,FALSE,,
barack obama: i already made america great again,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/obama i already made america great,TRUE,,,FALSE,,
ilhan omar spits on the tomb of the unknown soldier,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/omar spits on the tomb of the unknown soldier,TRUE,,,FALSE,,
"palin & nugent visit white house, tweet ""the real IQ behind the government""",FALSE,https://www.yourfeed.social/static/images/stimulii/aj/palin nugent visit white house.jpeg,TRUE,,,FALSE,,
pelosi files to have trump tried before un court,FALSE,https://www.yourfeed.social/static/images/stimulii/aj/pelosi files to have trump tried before un court,TRUE,,,FALSE,,
